timestamp,consumo_kwh,metrica,equipamento_id
2025-06-14 06:30:00,682.0,min,SMV340200
2025-06-14 06:45:00,679.0,min,SMV340200
2025-06-14 07:00:00,679.0,min,SMV340200
2025-06-14 07:15:00,678.0,min,SMV340200
2025-06-14 07:30:00,681.0,min,SMV340200
2025-06-14 07:45:00,681.0,min,SMV340200
2025-06-14 08:00:00,678.0,min,SMV340200
2025-06-14 08:15:00,677.0,min,SMV340200
2025-06-14 08:30:00,678.0,min,SMV340200
2025-06-14 08:45:00,680.0,min,SMV340200
2025-06-14 09:00:00,679.0,min,SMV340200
2025-06-14 09:15:00,681.0,min,SMV340200
2025-06-14 09:30:00,683.0,min,SMV340200
2025-06-14 09:45:00,680.0,min,SMV340200
2025-06-14 10:00:00,679.0,min,SMV340200
2025-06-14 10:15:00,682.0,min,SMV340200
2025-06-14 10:30:00,682.0,min,SMV340200
2025-06-14 10:45:00,679.0,min,SMV340200
2025-06-14 11:00:00,681.0,min,SMV340200
2025-06-14 11:15:00,682.0,min,SMV340200
2025-06-14 11:30:00,682.0,min,SMV340200
2025-06-14 11:45:00,681.0,min,SMV340200
2025-06-14 12:00:00,685.0,min,SMV340200
2025-06-14 12:15:00,686.0,min,SMV340200
2025-06-14 12:30:00,689.0,min,SMV340200
2025-06-14 12:45:00,690.0,min,SMV340200
2025-06-14 13:00:00,687.0,min,SMV340200
2025-06-14 13:15:00,692.0,min,SMV340200
2025-06-14 13:30:00,689.0,min,SMV340200
2025-06-14 13:45:00,688.0,min,SMV340200
2025-06-14 14:00:00,695.0,min,SMV340200
2025-06-14 14:15:00,690.0,min,SMV340200
2025-06-14 14:30:00,692.0,min,SMV340200
2025-06-14 14:45:00,690.0,min,SMV340200
2025-06-14 15:00:00,694.0,min,SMV340200
2025-06-14 15:15:00,696.0,min,SMV340200
2025-06-14 15:30:00,696.0,min,SMV340200
2025-06-14 15:45:00,700.0,min,SMV340200
2025-06-14 16:00:00,697.0,min,SMV340200
2025-06-14 16:15:00,701.0,min,SMV340200
2025-06-14 16:30:00,695.0,min,SMV340200
2025-06-14 16:45:00,696.0,min,SMV340200
2025-06-14 17:00:00,696.0,min,SMV340200
2025-06-14 17:15:00,701.0,min,SMV340200
2025-06-14 17:30:00,701.0,min,SMV340200
2025-06-14 17:45:00,699.0,min,SMV340200
2025-06-14 18:00:00,696.0,min,SMV340200
2025-06-14 18:15:00,701.0,min,SMV340200
2025-06-14 18:30:00,699.0,min,SMV340200
2025-06-14 18:45:00,698.0,min,SMV340200
2025-06-14 19:00:00,696.0,min,SMV340200
2025-06-14 19:15:00,689.0,min,SMV340200
2025-06-14 19:30:00,697.0,min,SMV340200
2025-06-14 19:45:00,695.0,min,SMV340200
